name,diet,period,lived_in,type,length,taxonomy,named_by,species,link,lat,long
saurornithoides,carnivorous,Late Cretaceous,Mongolia,small theropod,3.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Troodontidae,Osborn (1924),mongoliensis,https://www.nhm.ac.uk/discover/dino-directory/saurornithoides.html,49.08649600682492,98.69640572554516
scutellosaurus,herbivorous,Early Jurassic,USA,armoured dinosaur,1.2m,Dinosauria Ornithischia Genasauria Thyreophora,Colbert (1981),lawleri,https://www.nhm.ac.uk/discover/dino-directory/scutellosaurus.html,46.08118528234141,-117.63373925142815
secernosaurus,herbivorous,Late Cretaceous,Argentina,euornithopod,3.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae,Brett-Surman (1979),koerneri,https://www.nhm.ac.uk/discover/dino-directory/secernosaurus.html,-27.88998284943061,-64.8464172701122
segisaurus,carnivorous,Mid Jurassic,USA,small theropod,1.5m,Dinosauria Saurischia Theropoda Neotheropoda Coelophysoidea Coelophysidae,Camp (1936),halli,https://www.nhm.ac.uk/discover/dino-directory/segisaurus.html,43.7327862135927,-91.29032576261446
segnosaurus,carnivorous,Late Cretaceous,Mongolia,large theropod,4.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea Therizinosauridae,Perle (1979),galbinensis,https://www.nhm.ac.uk/discover/dino-directory/segnosaurus.html,49.08649600682492,98.69640572554516
shanag,carnivorous,Early Cretaceous,Mongolia,small theropod,0.45m,Dinosauria Saurischia,Turner Hwang and Norell (2007),ashile,https://www.nhm.ac.uk/discover/dino-directory/shanag.html,49.08649600682492,98.69640572554516
shantungosaurus,herbivorous,Late Cretaceous,China,euornithopod,15.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Hu (1973),giganteus,https://www.nhm.ac.uk/discover/dino-directory/shantungosaurus.html,33.56397741038529,99.74825986310896
shuvuuia,omnivorous,Late Cretaceous,Mongolia,small theropod,0.6m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Alvarezsauridae,Chiappe Norell and Clark (1998),deserti,https://www.nhm.ac.uk/discover/dino-directory/shuvuuia.html,49.08649600682492,98.69640572554516
silvisaurus,herbivorous,Early Cretaceous,USA,armoured dinosaur,4.0m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,Eaton (1960),condrayi,https://www.nhm.ac.uk/discover/dino-directory/silvisaurus.html,38.52770197894651,-115.51396668160244
sinocalliopteryx,carnivorous,Early Cretaceous,China,small theropod,2.37m,Dinosauria Saurischia,Ji Ji Lü and Yuan (2007),gigas,https://www.nhm.ac.uk/discover/dino-directory/sinocalliopteryx.html,42.04532706118388,83.91296904405971
